"","FAB_mses","UMPU_mses","alphas"
"result.1",25.3503879645351,25.3503879645351,0
"result.2",25.2762814667975,25.2661889104723,0.005
"result.3",25.280352119632,25.2700991878773,0.01
"result.4",25.2756848855972,25.2687424491107,0.015
"result.5",25.2661173541872,25.2804247053183,0.02
"result.6",25.2744805270593,25.2810444933966,0.025
"result.7",25.27813501164,25.2751339077526,0.03
"result.8",25.273670350957,25.2688968849943,0.035
"result.9",25.2791705639132,25.2667614295855,0.04
"result.10",25.2849562547654,25.2800510780243,0.045
"result.11",25.2828998698923,25.2854358828705,0.05
"result.12",25.2845742874661,25.2805077184963,0.055
"result.13",25.2889475297165,25.2829643892455,0.06
"result.14",25.2888100469061,25.2796903158294,0.065
"result.15",25.2752828487649,25.277141321332,0.07
"result.16",25.27954038277,25.2839246621812,0.075
"result.17",25.276428033083,25.2889239685748,0.08
"result.18",25.2661935644342,25.2898182868782,0.085
"result.19",25.2692858229583,25.2970422518179,0.09
"result.20",25.272676389251,25.2982750580788,0.095
"result.21",25.2737741654084,25.2994274826238,0.1
"result.22",25.2732500141246,25.2981854968508,0.105
"result.23",25.2745241058699,25.3000382906317,0.11
"result.24",25.2745750481708,25.3003531090745,0.115
"result.25",25.2790526963548,25.3038482281268,0.12
"result.26",25.2817459234423,25.3012762804177,0.125
"result.27",25.2805286714193,25.3037089100881,0.13
"result.28",25.2778327790307,25.2954402129505,0.135
"result.29",25.2768327317936,25.284928781922,0.14
"result.30",25.2737582586972,25.2826919058193,0.145
"result.31",25.2711528662306,25.2870082889408,0.15
"result.32",25.2738084635405,25.2818457612386,0.155
"result.33",25.2765496869632,25.2836340425709,0.16
"result.34",25.2753897711576,25.280706890564,0.165
"result.35",25.2752573936129,25.2761883542427,0.17
"result.36",25.2747466051461,25.2776290383598,0.175
"result.37",25.2722093474357,25.2842563099463,0.18
"result.38",25.2726353803,25.2810572169777,0.185
"result.39",25.2748561585361,25.2838676174618,0.19
"result.40",25.2728415111251,25.2856496134877,0.195
"result.41",25.2741263100644,25.2862963688269,0.2
